epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,596.844,1.46036,1.32674,1.36565,0.81767,0.70877,0.80879,0.48916,1.36726,1.2915,1.26832,0.000333196,0.000333196,0.0670136
2,1141.74,1.43702,1.20673,1.3616,0.86656,0.81928,0.89332,0.55661,1.22707,1.06236,1.19949,0.000666367,0.000666367,0.0340134
3,1689.97,1.38305,1.13962,1.33167,0.9185,0.8506,0.93122,0.58954,1.14938,0.91727,1.13684,0.000998886,0.000998886,0.00101259
4,2229.31,1.33128,1.05104,1.29689,0.92583,0.87704,0.94031,0.62025,1.09857,0.92955,1.11607,0.000997803,0.000997803,0.000997803
5,2768.15,1.30088,0.998,1.27551,0.92325,0.89511,0.94653,0.64082,1.05308,1.01162,1.07878,0.000996097,0.000996097,0.000996097
6,3308.05,1.26806,0.95524,1.25703,0.95141,0.90194,0.96119,0.66348,1.02175,0.78112,1.07179,0.000993906,0.000993906,0.000993906
7,3848.5,1.24358,0.91046,1.24219,0.94483,0.92027,0.96548,0.67584,0.98269,0.93246,1.0452,0.000991232,0.000991232,0.000991232
8,4389.67,1.22863,0.88173,1.22927,0.94115,0.91808,0.9672,0.68178,0.96364,0.84804,1.02975,0.000988079,0.000988079,0.000988079
9,4962.94,1.2085,0.85829,1.21885,0.95572,0.93125,0.97041,0.68642,0.96636,0.75548,1.03734,0.000984449,0.000984449,0.000984449
10,5506.16,1.19114,0.83299,1.20739,0.95901,0.92877,0.97275,0.6998,0.94248,0.78844,1.02594,0.000980345,0.000980345,0.000980345
11,6049.91,1.18523,0.81943,1.19981,0.95781,0.93515,0.9746,0.70983,0.92536,0.63605,1.00793,0.000975773,0.000975773,0.000975773
12,6592.59,1.17343,0.79651,1.19581,0.96544,0.93047,0.97393,0.71049,0.92173,0.6229,1.00628,0.000970736,0.000970736,0.000970736
13,7135.84,1.16198,0.78179,1.19116,0.96574,0.9387,0.9763,0.71188,0.92367,0.67346,1.00858,0.000965239,0.000965239,0.000965239
14,7679.35,1.15044,0.76771,1.18188,0.97034,0.93919,0.97692,0.7179,0.91222,0.73407,1.00514,0.000959289,0.000959289,0.000959289
15,8224.99,1.14253,0.75489,1.17988,0.96487,0.94404,0.97832,0.72434,0.90478,0.67226,1.00032,0.000952889,0.000952889,0.000952889
16,8768.97,1.1257,0.73736,1.16883,0.96121,0.94829,0.97891,0.72516,0.89752,0.65417,0.9947,0.000946048,0.000946048,0.000946048
17,9311.79,1.12198,0.72966,1.16441,0.96797,0.94401,0.97953,0.73157,0.8899,0.5995,0.98825,0.000938772,0.000938772,0.000938772
