epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1245.42,1.42566,1.27146,1.48695,0.83856,0.76258,0.86021,0.50097,1.34702,1.39601,1.39189,0.000266584,0.000266584,0.0669435
2,2470.49,1.37786,1.04766,1.44947,0.89913,0.82459,0.90808,0.55978,1.24755,1.00887,1.32875,0.000533048,0.000533048,0.0338767
3,3698.85,1.31829,0.95702,1.4165,0.90185,0.86782,0.93482,0.60401,1.15122,1.11803,1.28509,0.000798697,0.000798697,0.000808973
4,4920.06,1.26755,0.87811,1.38186,0.93227,0.8828,0.95029,0.62994,1.10026,0.93618,1.24009,0.000797255,0.000797255,0.000797255
5,6145.01,1.22655,0.80432,1.35481,0.93889,0.89281,0.95535,0.65399,1.04495,0.84166,1.21213,0.000795125,0.000795125,0.000795125
6,7364.18,1.19974,0.75771,1.33574,0.94768,0.91142,0.96373,0.66207,1.03058,0.76223,1.20769,0.000792391,0.000792391,0.000792391
7,8584.31,1.17535,0.72043,1.31585,0.9455,0.92417,0.96713,0.68285,0.99724,0.6723,1.18502,0.000789058,0.000789058,0.000789058
8,9805.24,1.15526,0.69547,1.30611,0.96034,0.92488,0.96947,0.6928,0.96783,0.63477,1.1597,0.000785132,0.000785132,0.000785132
9,11026.1,1.13515,0.66198,1.28797,0.96032,0.92736,0.97248,0.69778,0.96503,0.67275,1.15974,0.000780618,0.000780618,0.000780618
10,12248.9,1.12087,0.64599,1.27724,0.96844,0.93508,0.9755,0.71208,0.93477,0.65591,1.14067,0.000775524,0.000775524,0.000775524
11,13477.3,1.10965,0.62636,1.26796,0.96836,0.9348,0.97514,0.71361,0.93434,0.6064,1.12948,0.000769856,0.000769856,0.000769856
12,14706.9,1.09371,0.6107,1.25548,0.96177,0.94502,0.97702,0.71962,0.91045,0.58388,1.11811,0.000763625,0.000763625,0.000763625
13,15937.9,1.08108,0.59063,1.24839,0.96664,0.94295,0.97783,0.72342,0.90807,0.55066,1.1157,0.000756839,0.000756839,0.000756839
14,17178.1,1.07264,0.58112,1.24269,0.96456,0.94224,0.9777,0.72909,0.89442,0.52892,1.10697,0.000749508,0.000749508,0.000749508
15,18421.2,1.06217,0.56499,1.23257,0.96901,0.94543,0.97799,0.73528,0.88685,0.50384,1.10304,0.000741646,0.000741646,0.000741646
16,19660.9,1.04804,0.5511,1.22262,0.96684,0.94933,0.97881,0.7355,0.88918,0.49737,1.10617,0.000733262,0.000733262,0.000733262
17,20903.9,1.03921,0.53966,1.22182,0.97413,0.94968,0.97997,0.73943,0.88564,0.52226,1.10443,0.000724371,0.000724371,0.000724371
