epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.943,1.73554,1.72615,1.55741,0.79058,0.69023,0.76348,0.35349,1.77839,1.71053,1.86303,0.000266251,0.000266251,0.0669848
2,335.849,1.67212,1.23709,1.57362,0.76652,0.70075,0.75346,0.38227,1.74872,1.36574,1.73165,0.000532715,0.000532715,0.033918
3,501.124,1.6391,1.22584,1.54084,0.81611,0.76749,0.8098,0.40611,1.66266,1.29871,1.63553,0.000798365,0.000798365,0.000850286
4,665.482,1.60345,1.16627,1.52151,0.7658,0.72632,0.79245,0.40692,1.61874,1.27078,1.60836,0.000797255,0.000797255,0.000797255
5,833.933,1.55572,1.14261,1.48483,0.77714,0.78655,0.78797,0.4109,1.60375,1.22994,1.6138,0.000795125,0.000795125,0.000795125
6,996.995,1.51743,1.08276,1.45956,0.82576,0.7985,0.83467,0.44193,1.54764,1.12119,1.55062,0.000792391,0.000792391,0.000792391
7,1159.77,1.48347,1.05473,1.43354,0.87795,0.81504,0.85382,0.45744,1.54522,1.14144,1.56909,0.000789058,0.000789058,0.000789058
8,1322.54,1.46491,1.02247,1.4164,0.8549,0.78797,0.86003,0.47053,1.51486,1.11319,1.51493,0.000785132,0.000785132,0.000785132
9,1484.55,1.45484,1.00369,1.39911,0.84778,0.78195,0.85048,0.45941,1.55864,1.09952,1.53553,0.000780618,0.000780618,0.000780618
10,1647.01,1.4365,0.98873,1.39546,0.83974,0.8015,0.87614,0.48235,1.50545,1.07706,1.51633,0.000775524,0.000775524,0.000775524
11,1809.49,1.41623,0.94384,1.38851,0.87066,0.81955,0.87209,0.4715,1.55969,1.04572,1.55714,0.000769856,0.000769856,0.000769856
12,1971.83,1.39934,0.94145,1.37327,0.86261,0.82141,0.87533,0.49523,1.48649,1.04524,1.5108,0.000763625,0.000763625,0.000763625
13,2134.05,1.36685,0.91766,1.35623,0.86944,0.83115,0.88864,0.4967,1.47863,1.01898,1.52765,0.000756839,0.000756839,0.000756839
14,2296.28,1.34983,0.87068,1.3577,0.87333,0.82941,0.8725,0.49372,1.48991,0.98156,1.51498,0.000749508,0.000749508,0.000749508
15,2458.15,1.34109,0.86867,1.33703,0.86809,0.82139,0.88648,0.49495,1.48387,1.0066,1.49592,0.000741646,0.000741646,0.000741646
16,2620.09,1.32757,0.83781,1.33344,0.86038,0.83397,0.89007,0.50365,1.52756,0.93428,1.53986,0.000733262,0.000733262,0.000733262
17,2782.05,1.31406,0.84201,1.33319,0.87743,0.83964,0.89935,0.51671,1.47818,0.93583,1.51393,0.000724371,0.000724371,0.000724371
18,2944,1.29879,0.82322,1.31573,0.8655,0.85153,0.90616,0.52244,1.44939,0.91085,1.49229,0.000714986,0.000714986,0.000714986
19,3105.87,1.29107,0.80487,1.30519,0.88266,0.83609,0.90557,0.53195,1.47345,0.90827,1.50751,0.000705121,0.000705121,0.000705121
20,3267.72,1.27261,0.78829,1.29767,0.87165,0.84759,0.8936,0.52125,1.44399,0.91879,1.49361,0.000694792,0.000694792,0.000694792
21,3429.7,1.27066,0.77329,1.29195,0.89961,0.82857,0.90739,0.52571,1.46606,0.86435,1.51003,0.000684014,0.000684014,0.000684014
22,3591.46,1.25998,0.76426,1.28335,0.89326,0.85263,0.91616,0.53182,1.45984,0.86234,1.48939,0.000672805,0.000672805,0.000672805
23,3753.53,1.23322,0.75294,1.27166,0.89599,0.85501,0.90864,0.52286,1.45695,0.90271,1.49732,0.000661181,0.000661181,0.000661181
24,3915.38,1.21736,0.73096,1.27246,0.8793,0.84812,0.89941,0.51699,1.4835,0.87738,1.50847,0.000649161,0.000649161,0.000649161
25,4077.3,1.2055,0.72979,1.25873,0.89589,0.84812,0.91329,0.5347,1.46204,0.86752,1.49573,0.000636763,0.000636763,0.000636763
26,4239.24,1.1827,0.69654,1.24416,0.88494,0.84426,0.91301,0.53219,1.46694,0.83724,1.50671,0.000624006,0.000624006,0.000624006
27,4401.36,1.18181,0.69452,1.24019,0.88069,0.86165,0.91256,0.51941,1.48243,0.83163,1.51609,0.000610909,0.000610909,0.000610909
28,4563.43,1.16021,0.66711,1.22542,0.88733,0.86767,0.92337,0.53154,1.49152,0.8292,1.51302,0.000597494,0.000597494,0.000597494
29,4725.62,1.14109,0.671,1.21807,0.87905,0.86617,0.91913,0.53222,1.48685,0.8121,1.50719,0.00058378,0.00058378,0.00058378
30,4887.49,1.13401,0.64677,1.21218,0.90117,0.83759,0.90776,0.53173,1.48299,0.82265,1.51934,0.000569789,0.000569789,0.000569789
31,5049.26,1.11546,0.6375,1.20216,0.87162,0.86466,0.91272,0.53795,1.47447,0.81619,1.51778,0.000555543,0.000555543,0.000555543
32,5211.43,1.11734,0.63887,1.20284,0.8869,0.8372,0.89652,0.53146,1.48553,0.81537,1.54759,0.000541062,0.000541062,0.000541062
33,5373.22,1.09563,0.615,1.19114,0.9005,0.85865,0.90999,0.53145,1.48113,0.78381,1.53844,0.000526371,0.000526371,0.000526371
34,5535.17,1.06302,0.59866,1.17565,0.91006,0.86015,0.92735,0.5465,1.48325,0.77002,1.51016,0.00051149,0.00051149,0.00051149
35,5697.3,1.05248,0.58404,1.16009,0.87796,0.85564,0.90798,0.53473,1.48825,0.79408,1.5355,0.000496444,0.000496444,0.000496444
36,5859.25,1.03191,0.57216,1.14676,0.90855,0.85414,0.9183,0.53521,1.49592,0.76243,1.55526,0.000481256,0.000481256,0.000481256
37,6020.96,1.0236,0.56593,1.13955,0.91861,0.85113,0.92087,0.5349,1.47821,0.77322,1.53352,0.000465948,0.000465948,0.000465948
38,6182.63,0.99999,0.5529,1.1327,0.88411,0.85714,0.90308,0.53914,1.48123,0.80283,1.55311,0.000450545,0.000450545,0.000450545
